corpus,record,side,N,k,eps,I,room,resid,cells,npc,symbol_ok,cell_ok,room_ok,saturated,screen,q95_global,clear_global,strat_cover,q95_strat,clear_strat,q95_local,clear_local,q95_circ,clear_circ
C3,1014_331_332_30,user,34,2,0.10349250414632952,0.10324062181557658,0.9975661780258327,0.8943255562102561,8,4.25,True,True,True,False,PASS,0.11278,False,1.0,0.12476,False,0.13487,False,0.14251,False
C3,1015_681_682_10,model,27,2,0.18803209746075547,0.16422511298376852,0.8733887203382616,0.7091636073544931,7,3.86,True,True,True,False,PASS,0.23759,False,1.0,0.15569,True,0.4804,False,0.20304,False
C3,1015_681_682_10,user,27,2,0.32942943632665855,0.3281081142867365,0.9959890589782879,0.6678809446915515,6,4.5,True,True,True,False,PASS,0.20263,True,1.0,0.1778,True,0.20372,True,0.20263,True
C3,1017_364_773_45,model,26,2,-0.0057693098976599405,-0.005989944734077879,1.0382428471223966,1.0442327918564744,8,3.25,True,True,True,False,PASS,0.16618,False,1.0,0.12241,False,0.16618,False,0.01325,False
C3,1017_364_773_45,user,26,2,0.12468295716641509,0.12605315127536487,1.0109894258212129,0.884936274545848,8,3.25,True,True,True,False,PASS,0.17184,False,1.0,0.17545,False,0.17545,False,-0.00416,True
C3,1018_92_93_1,model,24,2,0.1344269395900377,0.13633711421136407,1.0142097605372244,0.8778726463258604,8,3.0,True,True,True,False,PASS,0.20199,False,1.0,0.18148,False,0.22276,False,0.20778,False
C3,1018_92_93_1,user,24,2,0.022445088931032683,0.022490725349815,1.0020332474031421,0.9795425220533271,7,3.43,True,True,True,False,PASS,0.18085,False,1.0,0.21877,False,0.18715,False,0.16154,False
C3,1019_975_976_37,model,29,2,0.6185903651951151,0.5225067684277326,0.8446733053511496,0.322166536923417,6,4.83,True,True,True,False,PASS,0.20551,True,1.0,0.19253,True,0.1992,True,0.29123,True
C3,1019_975_976_37,user,29,2,-0.024613015002363348,-0.0228733113896904,0.9293177364696725,0.9521910478593629,6,4.83,True,True,True,False,PASS,0.17613,False,1.0,0.10437,False,0.15583,False,0.19557,False
C3,1020_929_263_37,model,27,2,-0.005720933474955379,-0.0059652373788823265,1.0427035037195311,1.0486687410984135,8,3.38,True,True,True,False,PASS,0.12763,False,1.0,0.13636,False,0.13291,False,0.03851,False
C3,1020_929_263_37,user,27,2,-0.028420796885314046,-0.027560899133820538,0.96974406611597,0.9973049652497905,8,3.38,True,True,True,False,PASS,0.19023,False,1.0,0.19945,False,0.17542,False,0.02543,False
C3,1021_929_1271_22,model,27,2,0.037467033218219856,0.03910496122338891,1.0437165119434262,1.0046115507200373,7,3.86,True,True,True,False,PASS,0.16284,False,1.0,0.17673,False,0.145,False,0.40968,False
C3,1021_929_1271_22,user,27,2,0.3821327413517232,0.37807985689107104,0.9893940402847559,0.6113141833936848,7,3.86,True,True,True,False,PASS,0.17875,True,1.0,0.18336,True,0.16205,True,0.38213,False
C3,1022_420_238_30,model,27,2,0.11219251865366706,0.10536737968708842,0.9391658280919113,0.8337984484048229,7,3.86,True,True,True,False,PASS,0.18713,False,1.0,0.19198,False,0.20812,False,0.25135,False
C3,1022_420_238_30,user,27,2,0.12574742121708124,0.1312446598585728,1.0437165119434262,0.9124718520848534,8,3.38,True,True,True,False,PASS,0.15134,False,1.0,0.13841,False,0.15992,False,0.0748,True
C3,1023_681_929_30,model,27,2,-0.0059585034516048884,-0.005895307804034022,0.9893940402847556,0.9952893480887897,6,4.5,True,True,True,False,PASS,0.16203,False,1.0,0.08196,False,0.12781,False,0.13745,False
C3,1023_681_929_30,user,27,2,0.4405855859174053,0.41894717728080433,0.9508871617042473,0.5319399844234429,6,4.5,True,True,True,False,PASS,0.15355,True,1.0,0.15007,True,0.13282,True,0.0654,True
C3,1024_733_734_12,model,33,2,0.016778399291002864,0.01687257749635962,1.0056130625885902,0.9887404850922306,7,4.71,True,True,True,False,PASS,0.1335,False,1.0,0.09609,False,0.11276,False,0.13492,False
C3,1024_733_734_12,user,33,2,0.2093269655468628,0.19339259555841137,0.9238780825641685,0.7304854870057571,7,4.71,True,True,True,False,PASS,0.16711,True,1.0,0.13381,True,0.1234,True,0.04719,True
C3,1025_929_40_7,model,29,2,-0.0021310749628267013,-0.0021867740192649254,1.0261366012035278,1.0283233752227927,6,4.83,True,True,True,False,PASS,0.14341,False,1.0,0.09045,False,0.15848,False,0.26023,False
C3,1025_929_40_7,user,29,2,0.45226042536486,0.39534234088356424,0.8741475457743683,0.478805204890804,5,5.8,True,True,True,False,PASS,0.16498,True,1.0,0.15867,True,0.17964,True,0.32214,True
C3,1026_681_1333_7,model,26,2,0.8149924737734947,0.8239487731088753,1.0109894258212129,0.1870406527123376,5,5.2,True,True,True,False,PASS,0.18111,True,1.0,0.18271,True,0.18271,True,0.43841,True
C3,1026_681_1333_7,user,26,2,0.03468031616600855,0.0359358587017895,1.0362033186136739,1.0002674599118844,5,5.2,True,True,True,False,PASS,0.17461,False,1.0,0.04546,False,0.18257,False,0.46465,False
C3,1027_382_1418_7,model,33,2,0.06236011657531727,0.05306508867318427,0.8509459505113872,0.797880861838203,8,4.12,True,True,True,False,PASS,0.17393,False,1.0,0.16062,False,0.16466,False,0.15531,False
C3,1027_382_1418_7,user,33,2,0.3583561851426963,0.33238192950942835,0.9275183275463068,0.5951363980368785,6,5.5,True,True,True,False,PASS,0.14821,True,1.0,0.1465,True,0.14853,True,0.27006,True
C3,102_506_1506_38,model,32,2,0.13384298502942435,0.1398771916156658,1.0450842200277801,0.9052070284121143,7,4.57,True,True,True,False,PASS,0.12736,True,1.0,0.13384,False,0.17799,False,0.07849,True
C3,102_506_1506_38,user,32,2,0.15684128874920641,0.14996499622803727,0.9561576382341227,0.8061926420060854,8,4.0,True,True,True,False,PASS,0.13911,True,1.0,0.11832,True,0.13774,True,0.14313,True
C3,1030_696_1333_18,model,39,2,0.4356411872920432,0.3922099495131235,0.9003050238456805,0.508095074332557,7,5.57,True,True,True,False,PASS,0.10928,True,1.0,0.12802,True,0.12446,True,0.0282,True
C3,1030_696_1333_18,user,39,2,0.00022014931514180726,0.00019405330849964209,0.881462240182961,0.8812681868744614,7,5.57,True,True,True,False,PASS,0.12574,False,1.0,0.11882,False,0.11939,False,0.11178,False
C3,1031_733_89_42,model,26,2,0.12096560978455465,0.11870989066599469,0.9813523932746051,0.8626425026086104,7,3.71,True,True,True,False,PASS,0.15638,False,1.0,0.16484,False,0.14869,False,0.12097,False
C3,1031_733_89_42,user,26,2,0.024948013060890714,0.025258385961486107,1.0124407863599343,0.9871824003984482,7,3.71,True,True,True,False,PASS,0.1656,False,1.0,0.15202,False,0.14796,False,0.1851,False
C3,1032_906_994_42,model,25,2,-0.00414121337466588,-0.003039181087070242,0.7338866202023333,0.7369258012894035,6,4.17,True,True,True,False,PASS,0.16687,False,1.0,0.13735,False,0.12835,False,0.12835,False
C3,1032_906_994_42,user,25,2,0.07684777135798786,0.06897229182380482,0.8975184394418431,0.8285461476180382,7,3.57,True,True,True,False,PASS,0.18815,False,1.0,0.19748,False,0.18815,False,0.14199,False
C3,1033_760_443_32,model,27,2,0.0691831358752005,0.06101283591201201,0.8819033011465843,0.8208904652345723,7,3.86,True,True,True,False,PASS,0.14916,False,1.0,0.24445,False,0.18488,False,0.08138,False
C3,1033_760_443_32,user,27,2,0.1181137374590489,0.11207471014196924,0.9488710843717612,0.8367963742297919,7,3.86,True,True,True,False,PASS,0.16451,False,1.0,0.12528,False,0.12528,False,0.14701,False
C3,1034_34_245_0,model,31,2,0.27676993909288894,0.2528727348474745,0.9136567926280675,0.660784057780593,7,4.43,True,True,True,False,PASS,0.14909,True,1.0,0.14074,True,0.14826,True,0.21368,True
