N,k,beta,rho,gamma,nonstat,imbal,kind,mean_eps,global_rate,global_lo,global_hi,global_n,strat_rate,strat_lo,strat_hi,strat_n,local_rate,local_lo,local_hi,local_n,circ_rate,circ_lo,circ_hi,circ_n
39,2,0.0,0.0,0.0,True,1.0,type_I,0.027,0.0537,0.0333,0.0854,298,0.0436,0.0257,0.0732,298,0.057,0.0359,0.0895,298,0.0772,0.052,0.1131,298
39,2,0.0,0.0,0.8,True,1.0,power,0.1024,0.3074,0.2576,0.3622,296,0.2939,0.2449,0.3482,296,0.3176,0.2672,0.3727,296,0.3108,0.2608,0.3657,296
39,2,0.0,0.0,0.0,True,4.0,type_I,0.026,0.0401,0.0231,0.0688,299,0.0336,0.0183,0.0607,298,0.0435,0.0256,0.073,299,0.0569,0.0358,0.0892,299
39,2,0.0,0.0,0.8,True,4.0,power,0.1231,0.3278,0.277,0.3829,299,0.3177,0.2675,0.3725,299,0.3344,0.2834,0.3897,299,0.3746,0.3216,0.4307,299
39,2,0.0,0.5,0.0,False,1.0,type_I,0.0184,0.0537,0.0333,0.0854,298,0.0369,0.0207,0.0649,298,0.047,0.0282,0.0773,298,0.0638,0.0412,0.0974,298
39,2,0.0,0.5,0.8,False,1.0,power,0.1133,0.3064,0.2567,0.361,297,0.2896,0.2409,0.3436,297,0.2963,0.2472,0.3506,297,0.3266,0.2758,0.3819,297
39,2,0.0,0.5,0.0,False,4.0,type_I,0.0295,0.0602,0.0384,0.0931,299,0.0368,0.0207,0.0647,299,0.0502,0.0306,0.0811,299,0.087,0.06,0.1244,299
39,2,0.0,0.5,0.8,False,4.0,power,0.114,0.3579,0.3056,0.4137,299,0.3131,0.2631,0.368,297,0.3612,0.3088,0.4171,299,0.3278,0.277,0.3829,299
39,2,0.0,0.5,0.0,True,1.0,type_I,0.0256,0.0567,0.0357,0.0889,300,0.0267,0.0136,0.0517,300,0.05,0.0305,0.0808,300,0.07,0.0462,0.1046,300
39,2,0.0,0.5,0.8,True,1.0,power,0.093,0.2601,0.2135,0.313,296,0.2331,0.1885,0.2845,296,0.2601,0.2135,0.313,296,0.2736,0.226,0.3271,296
39,2,0.0,0.5,0.0,True,4.0,type_I,0.0362,0.0569,0.0358,0.0892,299,0.0438,0.0258,0.0734,297,0.0635,0.0411,0.0971,299,0.087,0.06,0.1244,299
39,2,0.0,0.5,0.8,True,4.0,power,0.1272,0.3322,0.2812,0.3875,298,0.3289,0.278,0.3841,298,0.3389,0.2875,0.3944,298,0.3423,0.2907,0.3979,298
39,2,2.0,0.0,0.0,False,1.0,type_I,0.0255,0.0468,0.0281,0.077,299,0.0201,0.0092,0.0431,299,0.0435,0.0256,0.073,299,0.0702,0.0464,0.105,299
39,2,2.0,0.0,0.8,False,1.0,power,0.0725,0.1906,0.1501,0.239,299,0.1605,0.1233,0.2064,299,0.214,0.1713,0.264,299,0.214,0.1713,0.264,299
39,2,2.0,0.0,0.0,False,4.0,type_I,0.0271,0.0369,0.0207,0.0649,298,0.0303,0.016,0.0566,297,0.0503,0.0307,0.0814,298,0.0369,0.0207,0.0649,298
39,2,2.0,0.0,0.8,False,4.0,power,0.0756,0.1911,0.1502,0.24,293,0.1706,0.1319,0.2179,293,0.2048,0.1625,0.2547,293,0.1945,0.1533,0.2437,293
39,2,2.0,0.0,0.0,True,1.0,type_I,0.0344,0.0638,0.0412,0.0974,298,0.0537,0.0333,0.0854,298,0.0537,0.0333,0.0854,298,0.0906,0.063,0.1286,298
39,2,2.0,0.0,0.8,True,1.0,power,0.0918,0.2752,0.2276,0.3285,298,0.1846,0.1446,0.2325,298,0.2483,0.2027,0.3004,298,0.302,0.2527,0.3564,298
39,2,2.0,0.0,0.0,True,4.0,type_I,0.0247,0.0368,0.0207,0.0647,299,0.0201,0.0093,0.0432,298,0.0301,0.0159,0.0562,299,0.0368,0.0207,0.0647,299
39,2,2.0,0.0,0.8,True,4.0,power,0.1113,0.3087,0.259,0.3633,298,0.2525,0.2065,0.3049,297,0.2819,0.2338,0.3355,298,0.3154,0.2653,0.3703,298
39,2,2.0,0.5,0.0,False,1.0,type_I,0.0241,0.03,0.0159,0.056,300,0.02,0.0092,0.0429,300,0.0367,0.0206,0.0645,300,0.0533,0.0331,0.0849,300
39,2,2.0,0.5,0.8,False,1.0,power,0.0661,0.1913,0.1507,0.2397,298,0.1544,0.1178,0.1998,298,0.1913,0.1507,0.2397,298,0.1946,0.1537,0.2434,298
39,2,2.0,0.5,0.0,False,4.0,type_I,0.0227,0.0268,0.0136,0.0519,299,0.0101,0.0034,0.0292,298,0.0234,0.0114,0.0475,299,0.0301,0.0159,0.0562,299
39,2,2.0,0.5,0.8,False,4.0,power,0.0835,0.1906,0.1501,0.239,299,0.1453,0.1097,0.19,296,0.1739,0.1352,0.2209,299,0.2308,0.1866,0.2818,299
39,2,2.0,0.5,0.0,True,1.0,type_I,0.0256,0.0468,0.0281,0.077,299,0.0201,0.0092,0.0431,299,0.0468,0.0281,0.077,299,0.0635,0.0411,0.0971,299
39,2,2.0,0.5,0.8,True,1.0,power,0.0955,0.2584,0.212,0.3109,298,0.2282,0.1842,0.2791,298,0.2685,0.2213,0.3215,298,0.2852,0.237,0.339,298
39,2,2.0,0.5,0.0,True,4.0,type_I,0.029,0.0503,0.0307,0.0814,298,0.0369,0.0207,0.0649,298,0.0537,0.0333,0.0854,298,0.057,0.0359,0.0895,298
39,2,2.0,0.5,0.8,True,4.0,power,0.0961,0.2315,0.1873,0.2827,298,0.2222,0.1787,0.2729,297,0.2483,0.2027,0.3004,298,0.2416,0.1965,0.2933,298
