N,k,beta,rho,gamma,nonstat,imbal,kind,mean_eps,global_rate,global_lo,global_hi,global_n,strat_rate,strat_lo,strat_hi,strat_n,local_rate,local_lo,local_hi,local_n,circ_rate,circ_lo,circ_hi,circ_n
23,2,2.0,0.5,0.8,False,4.0,power,0.0859,0.108,0.0771,0.1492,287,0.0669,0.0432,0.1021,284,0.1254,0.092,0.1688,287,0.2927,0.2431,0.3478,287
23,2,2.0,0.5,0.0,True,1.0,type_I,0.0581,0.0407,0.0234,0.0697,295,0.0102,0.0035,0.0296,294,0.0508,0.0311,0.0822,295,0.2203,0.1768,0.2711,295
23,2,2.0,0.5,0.8,True,1.0,power,0.1386,0.1939,0.1528,0.2429,294,0.1297,0.096,0.173,293,0.1803,0.1405,0.2282,294,0.4286,0.3733,0.4857,294
23,2,2.0,0.5,0.0,True,4.0,type_I,0.0377,0.0268,0.0137,0.0521,298,0.0169,0.0073,0.0391,295,0.0336,0.0183,0.0607,298,0.2181,0.175,0.2684,298
23,2,2.0,0.5,0.8,True,4.0,power,0.1196,0.1862,0.1456,0.235,290,0.1597,0.1219,0.2065,288,0.1931,0.1518,0.2424,290,0.369,0.3155,0.4259,290
23,3,0.0,0.0,0.0,False,1.0,type_I,0.2493,0.0467,0.028,0.0768,300,0.0368,0.0207,0.0647,299,0.05,0.0305,0.0808,300,0.24,0.1952,0.2914,300
23,3,0.0,0.0,0.8,False,1.0,power,0.3406,0.1839,0.1441,0.2318,299,0.1773,0.1381,0.2246,299,0.1873,0.1471,0.2354,299,0.4147,0.3603,0.4713,299
23,3,0.0,0.0,0.0,False,4.0,type_I,0.1986,0.0667,0.0436,0.1007,300,0.051,0.03,0.0853,255,0.0833,0.0571,0.1201,300,0.2733,0.226,0.3264,300
23,3,0.0,0.0,0.8,False,4.0,power,0.2718,0.1639,0.1262,0.2101,299,0.1699,0.1291,0.2204,259,0.1639,0.1262,0.2101,299,0.4381,0.383,0.4948,299
23,3,0.0,0.0,0.0,True,1.0,type_I,0.26,0.0767,0.0516,0.1124,300,0.0633,0.0409,0.0968,300,0.0767,0.0516,0.1124,300,0.2467,0.2013,0.2984,300
23,3,0.0,0.0,0.8,True,1.0,power,0.3382,0.1867,0.1466,0.2346,300,0.1867,0.1466,0.2346,300,0.1867,0.1466,0.2346,300,0.46,0.4045,0.5165,300
23,3,0.0,0.0,0.0,True,4.0,type_I,0.1997,0.0433,0.0255,0.0727,300,0.0377,0.0206,0.0681,265,0.0433,0.0255,0.0727,300,0.2533,0.2074,0.3055,300
23,3,0.0,0.0,0.8,True,4.0,power,0.2956,0.2617,0.2151,0.3145,298,0.2366,0.1892,0.2917,262,0.2785,0.2307,0.332,298,0.5235,0.4668,0.5795,298
23,3,0.0,0.5,0.0,False,1.0,type_I,0.2182,0.0433,0.0255,0.0727,300,0.0338,0.0185,0.0611,296,0.0533,0.0331,0.0849,300,0.24,0.1952,0.2914,300
23,3,0.0,0.5,0.8,False,1.0,power,0.3023,0.1933,0.1526,0.2418,300,0.1924,0.1513,0.2416,291,0.1967,0.1556,0.2454,300,0.4633,0.4077,0.5199,300
23,3,0.0,0.5,0.0,False,4.0,type_I,0.1872,0.0633,0.0409,0.0968,300,0.0393,0.0221,0.069,280,0.04,0.023,0.0686,300,0.2367,0.1921,0.2879,300
23,3,0.0,0.5,0.8,False,4.0,power,0.2723,0.2843,0.2361,0.3379,299,0.2657,0.2179,0.3198,286,0.2542,0.2082,0.3064,299,0.4916,0.4354,0.5481,299
23,3,0.0,0.5,0.0,True,1.0,type_I,0.2248,0.0468,0.0281,0.077,299,0.0336,0.0183,0.0607,298,0.0401,0.0231,0.0688,299,0.2408,0.1958,0.2924,299
23,3,0.0,0.5,0.8,True,1.0,power,0.3096,0.19,0.1496,0.2382,300,0.1757,0.1366,0.2231,296,0.1833,0.1436,0.231,300,0.4533,0.3979,0.5099,300
23,3,0.0,0.5,0.0,True,4.0,type_I,0.1826,0.03,0.0159,0.056,300,0.0387,0.0218,0.068,284,0.0333,0.0182,0.0603,300,0.2333,0.189,0.2844,300
23,3,0.0,0.5,0.8,True,4.0,power,0.2668,0.2433,0.1982,0.2949,300,0.2191,0.1748,0.2709,283,0.25,0.2044,0.302,300,0.5133,0.457,0.5694,300
23,3,2.0,0.0,0.0,False,1.0,type_I,0.1231,0.02,0.0092,0.0429,300,0.0368,0.0207,0.0647,299,0.03,0.0159,0.056,300,0.0967,0.0681,0.1354,300
23,3,2.0,0.0,0.8,False,1.0,power,0.1849,0.0533,0.0331,0.0849,300,0.0933,0.0654,0.1316,300,0.08,0.0543,0.1163,300,0.2,0.1587,0.2489,300
23,3,2.0,0.0,0.0,False,4.0,type_I,0.1126,0.0133,0.0052,0.0338,300,0.0196,0.0084,0.0451,255,0.04,0.023,0.0686,300,0.1367,0.1024,0.1802,300
23,3,2.0,0.0,0.8,False,4.0,power,0.1797,0.1067,0.0766,0.1467,300,0.1648,0.1251,0.214,267,0.1333,0.0995,0.1765,300,0.2967,0.2478,0.3507,300
23,3,2.0,0.0,0.0,True,1.0,type_I,0.1927,0.0233,0.0113,0.0474,300,0.047,0.0282,0.0773,298,0.0333,0.0182,0.0603,300,0.1633,0.1258,0.2094,300
23,3,2.0,0.0,0.8,True,1.0,power,0.2675,0.1233,0.0908,0.1654,300,0.1544,0.1178,0.1998,298,0.1467,0.1111,0.1912,300,0.32,0.2698,0.3748,300
23,3,2.0,0.0,0.0,True,4.0,type_I,0.1503,0.02,0.0092,0.0429,300,0.0271,0.0132,0.0549,258,0.0367,0.0206,0.0645,300,0.1767,0.1377,0.2238,300
23,3,2.0,0.0,0.8,True,4.0,power,0.2338,0.1572,0.1203,0.2028,299,0.2253,0.1781,0.2807,253,0.1538,0.1174,0.1991,299,0.3746,0.3216,0.4307,299
23,3,2.0,0.5,0.0,False,1.0,type_I,0.1241,0.01,0.0034,0.029,300,0.0105,0.0036,0.0303,287,0.0067,0.0018,0.024,300,0.1233,0.0908,0.1654,300
23,3,2.0,0.5,0.8,False,1.0,power,0.176,0.0833,0.0571,0.1201,300,0.1267,0.0933,0.1698,292,0.1033,0.0738,0.1429,300,0.2667,0.2198,0.3194,300
23,3,2.0,0.5,0.0,False,4.0,type_I,0.109,0.0334,0.0183,0.0605,299,0.0387,0.0218,0.068,284,0.0502,0.0306,0.0811,299,0.1839,0.1441,0.2318,299
23,3,2.0,0.5,0.8,False,4.0,power,0.1774,0.11,0.0794,0.1505,300,0.1458,0.1097,0.1913,288,0.15,0.114,0.1948,300,0.35,0.2982,0.4056,300
23,3,2.0,0.5,0.0,True,1.0,type_I,0.1654,0.02,0.0092,0.0429,300,0.0237,0.0115,0.0482,295,0.0267,0.0136,0.0517,300,0.1267,0.0937,0.1691,300
23,3,2.0,0.5,0.8,True,1.0,power,0.2452,0.1433,0.1082,0.1875,300,0.1706,0.1319,0.2179,293,0.16,0.1229,0.2057,300,0.3267,0.2761,0.3816,300
23,3,2.0,0.5,0.0,True,4.0,type_I,0.1292,0.0367,0.0206,0.0645,300,0.0491,0.0295,0.0808,285,0.0367,0.0206,0.0645,300,0.1833,0.1436,0.231,300
23,3,2.0,0.5,0.8,True,4.0,power,0.2115,0.1622,0.1245,0.2084,296,0.1661,0.1273,0.2138,283,0.1959,0.1547,0.2449,296,0.4223,0.3674,0.4792,296
24,2,0.0,0.0,0.0,False,1.0,type_I,0.056,0.037,0.0208,0.0651,297,0.0202,0.0093,0.0434,297,0.0438,0.0258,0.0734,297,0.1785,0.1391,0.226,297
24,2,0.0,0.0,0.8,False,1.0,power,0.1451,0.2407,0.1954,0.2926,295,0.2,0.1583,0.2494,295,0.2102,0.1676,0.2602,295,0.3864,0.3327,0.4431,295
24,2,0.0,0.0,0.0,False,4.0,type_I,0.0481,0.0433,0.0255,0.0727,300,0.0237,0.0115,0.0482,295,0.0433,0.0255,0.0727,300,0.1367,0.1024,0.1802,300
24,2,0.0,0.0,0.8,False,4.0,power,0.15,0.2347,0.1899,0.2864,294,0.1993,0.1575,0.249,291,0.2517,0.2055,0.3043,294,0.3776,0.3241,0.4342,294
24,2,0.0,0.0,0.0,True,1.0,type_I,0.0538,0.0468,0.0281,0.077,299,0.0301,0.0159,0.0562,299,0.0502,0.0306,0.0811,299,0.1839,0.1441,0.2318,299
24,2,0.0,0.0,0.8,True,1.0,power,0.1515,0.2669,0.2197,0.32,296,0.2365,0.1916,0.2881,296,0.2703,0.2229,0.3236,296,0.4054,0.351,0.4622,296
24,2,0.0,0.0,0.0,True,4.0,type_I,0.0551,0.0339,0.0185,0.0613,295,0.0205,0.0094,0.0439,293,0.0271,0.0138,0.0526,295,0.1356,0.1012,0.1794,295
24,2,0.0,0.0,0.8,True,4.0,power,0.1526,0.2279,0.1836,0.2792,294,0.1972,0.1555,0.247,289,0.2177,0.1743,0.2683,294,0.4082,0.3535,0.4652,294
24,2,0.0,0.5,0.0,False,1.0,type_I,0.0564,0.0304,0.0161,0.0568,296,0.0169,0.0072,0.0389,296,0.0338,0.0185,0.0611,296,0.1588,0.1216,0.2048,296
24,2,0.0,0.5,0.8,False,1.0,power,0.1397,0.2415,0.1961,0.2936,294,0.2116,0.1687,0.262,293,0.2449,0.1992,0.2971,294,0.3503,0.2981,0.4065,294
24,2,0.0,0.5,0.0,False,4.0,type_I,0.0587,0.0678,0.0443,0.1024,295,0.0342,0.0187,0.0619,292,0.0644,0.0416,0.0984,295,0.1831,0.1431,0.2312,295
24,2,0.0,0.5,0.8,False,4.0,power,0.1355,0.2196,0.1762,0.2702,296,0.1871,0.1466,0.2356,294,0.223,0.1793,0.2738,296,0.375,0.3218,0.4314,296
24,2,0.0,0.5,0.0,True,1.0,type_I,0.0586,0.0574,0.0362,0.09,296,0.0407,0.0234,0.0697,295,0.0541,0.0335,0.086,296,0.2061,0.1639,0.2558,296
24,2,0.0,0.5,0.8,True,1.0,power,0.1309,0.1993,0.1578,0.2486,296,0.1763,0.137,0.2238,295,0.2095,0.167,0.2594,296,0.3716,0.3185,0.428,296
24,2,0.0,0.5,0.0,True,4.0,type_I,0.0454,0.0309,0.0164,0.0577,291,0.0208,0.0096,0.0447,288,0.0344,0.0188,0.0621,291,0.1478,0.1116,0.1931,291
24,2,0.0,0.5,0.8,True,4.0,power,0.1347,0.2373,0.1923,0.289,295,0.1939,0.1528,0.2429,294,0.2508,0.2048,0.3033,295,0.3763,0.3229,0.4328,295
24,2,2.0,0.0,0.0,False,1.0,type_I,0.0535,0.0468,0.0281,0.077,299,0.0167,0.0072,0.0385,299,0.0401,0.0231,0.0688,299,0.1338,0.0998,0.177,299
24,2,2.0,0.0,0.8,False,1.0,power,0.0847,0.113,0.0816,0.1545,292,0.0959,0.0672,0.1351,292,0.1164,0.0845,0.1583,292,0.226,0.1818,0.2774,292
24,2,2.0,0.0,0.0,False,4.0,type_I,0.05,0.0303,0.016,0.0566,297,0.0205,0.0094,0.0439,293,0.0505,0.0308,0.0816,297,0.165,0.1271,0.2114,297
24,2,2.0,0.0,0.8,False,4.0,power,0.086,0.1276,0.094,0.1709,290,0.0912,0.063,0.1303,285,0.1414,0.106,0.1862,290,0.2931,0.2437,0.3479,290
24,2,2.0,0.0,0.0,True,1.0,type_I,0.0545,0.037,0.0208,0.0651,297,0.0101,0.0034,0.0293,297,0.0404,0.0233,0.0693,297,0.1953,0.1542,0.2441,297
24,2,2.0,0.0,0.8,True,1.0,power,0.1238,0.1858,0.1456,0.234,296,0.1318,0.0979,0.175,296,0.1791,0.1396,0.2268,296,0.3547,0.3024,0.4108,296
24,2,2.0,0.0,0.0,True,4.0,type_I,0.0481,0.0404,0.0233,0.0693,297,0.0171,0.0073,0.0393,293,0.037,0.0208,0.0651,297,0.1751,0.1361,0.2224,297
24,2,2.0,0.0,0.8,True,4.0,power,0.1181,0.1712,0.1324,0.2186,292,0.1254,0.092,0.1688,287,0.1678,0.1293,0.2149,292,0.3219,0.2709,0.3775,292
24,2,2.0,0.5,0.0,False,1.0,type_I,0.0509,0.027,0.0138,0.0524,296,0.0136,0.0053,0.0343,295,0.0439,0.0258,0.0737,296,0.1588,0.1216,0.2048,296
24,2,2.0,0.5,0.8,False,1.0,power,0.0961,0.128,0.0943,0.1715,289,0.0729,0.0482,0.1089,288,0.1246,0.0914,0.1676,289,0.263,0.2156,0.3166,289
