turn,omega_w1_response,omega_w1_prompt
2,,-1.2450036492890808
3,-0.8490129812600271,0.6514064829237949
4,0.038247461541391914,
5,0.00277245942373483,
6,-0.18339318694564888,2.1932589009479058
7,0.2088151328694723,0.8019072608353719
8,0.16317446583637896,0.023467708966211198
9,-1.7123842432919956,-3.50500285439444
10,1.6476152308616552,3.2902013946829785
